	values	probs
Nominal morphology|Nominal cases|AGGL.CASE	No agglutination for case	0.7819
Nominal morphology|Nominal cases|DAT;Nominal morphology|Nominal cases|GEN;Nominal morphology|Nominal cases|GEN/DAT	Dative but no genitive	0.0698666666666667
Nominal morphology|Nominal cases|DAT;Nominal morphology|Nominal cases|GEN;Nominal morphology|Nominal cases|GEN/DAT	Genitive and dative	0.607866666666667
Nominal morphology|Nominal cases|DAT;Nominal morphology|Nominal cases|GEN;Nominal morphology|Nominal cases|GEN/DAT	Genitive but no dative	0.138433333333333
Nominal morphology|Nominal cases|DAT;Nominal morphology|Nominal cases|GEN;Nominal morphology|Nominal cases|GEN/DAT	No genitive or dative	0.183833333333333
Nominal morphology|Nominal cases|O-case	Case difference A and O	0.715433333333333
Nominal morphology|Nominal cases|O-case	No case difference A and O	0.284566666666667
Nominal morphology|Nominal cases|OBL-Cases	No peripheral cases	0.0172666666666667
Nominal morphology|Nominal cases|OBL-Cases	Peripheral cases	0.982733333333333
Nominal morphology|Nominal cases|VOC	No Vocative	0.114933333333333
Nominal morphology|Nominal cases|VOC	Vocative	0.885066666666667
Nominal morphology|Preposition agreement|PRON-AGR	Agreement on prepositions	0.0324
Nominal morphology|Preposition agreement|PRON-AGR	No agreement on prepositions	0.9676
Nominal morphology|Pronominal Cases|<7 Cases	Fewer than 7 pronominal cases (pronouns)	0.969
Nominal morphology|Pronominal Cases|<7 Cases	More than 7 pronominal cases (pronouns)	0.031
Nominal morphology|Pronominal Cases|AGGL.CASE	Agglutination for number (pronouns)	0.0814333333333333
Nominal morphology|Pronominal Cases|AGGL.CASE	No agglutination for number (pronouns)	0.918566666666667
Nominal morphology|Pronominal Cases|AGGL.CASE.NR	Agglutination for case (pronouns)	0.962466666666667
Nominal morphology|Pronominal Cases|AGGL.CASE.NR	No agglutination for case (pronouns)	0.0375333333333333
Nominal morphology|Pronominal Cases|A≠O	Difference A and O (pronouns)	0.934366666666667
Nominal morphology|Pronominal Cases|A≠O	No difference A and O (pronouns)	0.0656333333333333
Nominal morphology|Pronominal Cases|DAT≠O	Difference, O and Dative (pronouns)	0.429066666666667
Nominal morphology|Pronominal Cases|DAT≠O	No difference O and Dative (pronouns)	0.570933333333333
Nominal morphology|Pronominal Cases|OBL-Cases	No peripheral cases (pronouns)	0.0775
Nominal morphology|Pronominal Cases|OBL-Cases	Peripheral cases (pronouns)	0.9225
Nominal morphology|Pronominal Cases|VOC	No Vocative (pronouns)	0.985266666666667
Nominal morphology|Pronominal Cases|VOC	Vocative (pronouns)	0.0147333333333333
TENSE|Continous present|Present ????	No synthetic Present progressive	0.078
TENSE|Continous present|Present ????	Synthetic Present progressive	0.922
TENSE|Continous present|Progressive present	No Present progressive by auxiliary	0.676
TENSE|Continous present|Progressive present	Present progressive by auxiliary	0.324
TENSE|Future|FUT.AUX	Future by auxiliary	0.3716
TENSE|Future|FUT.AUX	No Future by auxiliary	0.6284
TENSE|Future|FUT.Participle	Future by participle	0.276
TENSE|Future|FUT.Participle	No Future by participle	0.724
TENSE|Future|FUT.Particle	Future by particle	0.106833333333333
TENSE|Future|FUT.Particle	No Future by particle	0.893166666666667
TENSE|Future|FUT.Synth	No synthetic Future	0.7305
TENSE|Future|FUT.Synth	Synthetic Future	0.2695
TENSE|Future|PERF.FUT	Future by perfect	0.0195333333333333
TENSE|Future|PERF.FUT	No Future by perfect	0.980466666666667
Verbal morphology|present progressive, A|PROG:A-AGR-FULL;Verbal morphology|present progressive, A|PROG:A-Gender-AGR;Verbal morphology|present progressive, A|PROG:NO-A-AGR	Present progressive: Full A Agreement	0.657366666666667
Verbal morphology|present progressive, A|PROG:A-AGR-FULL;Verbal morphology|present progressive, A|PROG:A-Gender-AGR;Verbal morphology|present progressive, A|PROG:NO-A-AGR	Present progressive: Full and Gender A Agreement	0.0248666666666667
Verbal morphology|present progressive, A|PROG:A-AGR-FULL;Verbal morphology|present progressive, A|PROG:A-Gender-AGR;Verbal morphology|present progressive, A|PROG:NO-A-AGR	Present progressive: Gender A Agreement	0.0407666666666667
Verbal morphology|present progressive, A|PROG:A-AGR-FULL;Verbal morphology|present progressive, A|PROG:A-Gender-AGR;Verbal morphology|present progressive, A|PROG:NO-A-AGR	Present progressive: No A Agreement	0.0646
Verbal morphology|present progressive, A|PROG:A-AGR-FULL;Verbal morphology|present progressive, A|PROG:A-Gender-AGR;Verbal morphology|present progressive, A|PROG:NO-A-AGR	Present progressive: Syncretic A Agreement	0.2124
Verbal morphology|present progressive, DAT|PROG:DAT-AGR-FULL;Verbal morphology|present progressive, DAT|PROG:DAT-Gender-AGR;Verbal morphology|present progressive, DAT|PROG:NO-DAT-AGR	Present progressive: Full Dative Agreement	0.0204333333333333
Verbal morphology|present progressive, DAT|PROG:DAT-AGR-FULL;Verbal morphology|present progressive, DAT|PROG:DAT-Gender-AGR;Verbal morphology|present progressive, DAT|PROG:NO-DAT-AGR	Present progressive: No Dative Agreement	0.922433333333333
Verbal morphology|present progressive, DAT|PROG:DAT-AGR-FULL;Verbal morphology|present progressive, DAT|PROG:DAT-Gender-AGR;Verbal morphology|present progressive, DAT|PROG:NO-DAT-AGR	Present progressive: Syncretic Dative Agreement	0.0571333333333333
Verbal morphology|present progressive, O|PROG:NO-O-AGR;Verbal morphology|present progressive, O|PROG:O-AGR-FULL;Verbal morphology|present progressive, O|PROG:O-Gender-AGR	Present progressive: Full O Agreement	0.0217666666666667
Verbal morphology|present progressive, O|PROG:NO-O-AGR;Verbal morphology|present progressive, O|PROG:O-AGR-FULL;Verbal morphology|present progressive, O|PROG:O-Gender-AGR	Present progressive: No O Agreement	0.920433333333333
Verbal morphology|present progressive, O|PROG:NO-O-AGR;Verbal morphology|present progressive, O|PROG:O-AGR-FULL;Verbal morphology|present progressive, O|PROG:O-Gender-AGR	Present progressive: Syncretic O Agreement	0.0578
Verbal morphology|simple PAST, A|PST:A-AGR-FULL;Verbal morphology|simple PAST, A|PST:A-Gender-AGR;Verbal morphology|simple PAST, A|PST:NO-A-AGR	Simple past: Full A Agreement	0.0313333333333333
Verbal morphology|simple PAST, A|PST:A-AGR-FULL;Verbal morphology|simple PAST, A|PST:A-Gender-AGR;Verbal morphology|simple PAST, A|PST:NO-A-AGR	Simple past: Full and Gender A Agreement	0.270222222222222
Verbal morphology|simple PAST, A|PST:A-AGR-FULL;Verbal morphology|simple PAST, A|PST:A-Gender-AGR;Verbal morphology|simple PAST, A|PST:NO-A-AGR	Simple past: Gender A Agreement	0.0487222222222222
Verbal morphology|simple PAST, A|PST:A-AGR-FULL;Verbal morphology|simple PAST, A|PST:A-Gender-AGR;Verbal morphology|simple PAST, A|PST:NO-A-AGR	Simple past: No A Agreement	0.0558888888888889
Verbal morphology|simple PAST, A|PST:A-AGR-FULL;Verbal morphology|simple PAST, A|PST:A-Gender-AGR;Verbal morphology|simple PAST, A|PST:NO-A-AGR	Simple past: Syncretic A Agreement	0.207333333333333
Verbal morphology|simple PAST, A|PST:A-AGR-FULL;Verbal morphology|simple PAST, A|PST:A-Gender-AGR;Verbal morphology|simple PAST, A|PST:NO-A-AGR	Simple past: Full A Agreement	0.3865
Verbal morphology|simple PAST, DAT|PST:DAT-AGR-FULL;Verbal morphology|simple PAST, DAT|PST:DAT-Gender-AGR;Verbal morphology|simple PAST, DAT|PST:NO-DAT-AGR	Simple past: Full Dative Agreement	0.0221
Verbal morphology|simple PAST, DAT|PST:DAT-AGR-FULL;Verbal morphology|simple PAST, DAT|PST:DAT-Gender-AGR;Verbal morphology|simple PAST, DAT|PST:NO-DAT-AGR	Simple past: Gender Dative Agreement	0.0205333333333333
Verbal morphology|simple PAST, DAT|PST:DAT-AGR-FULL;Verbal morphology|simple PAST, DAT|PST:DAT-Gender-AGR;Verbal morphology|simple PAST, DAT|PST:NO-DAT-AGR	Simple past: No Dative Agreement	0.8931
Verbal morphology|simple PAST, DAT|PST:DAT-AGR-FULL;Verbal morphology|simple PAST, DAT|PST:DAT-Gender-AGR;Verbal morphology|simple PAST, DAT|PST:NO-DAT-AGR	Simple past: Syncretic Dative Agreement	0.0642666666666667
Verbal morphology|simple PAST, O|PST:NO-O-AGR;Verbal morphology|simple PAST, O|PST:O-AGR-FULL;Verbal morphology|simple PAST, O|PST:O-Gender-AGR	Simple past: Gender and full O Agreement	0.0278333333333333
Verbal morphology|simple PAST, O|PST:NO-O-AGR;Verbal morphology|simple PAST, O|PST:O-AGR-FULL;Verbal morphology|simple PAST, O|PST:O-Gender-AGR	Simple past: Gender O Agreement	0.0363
Verbal morphology|simple PAST, O|PST:NO-O-AGR;Verbal morphology|simple PAST, O|PST:O-AGR-FULL;Verbal morphology|simple PAST, O|PST:O-Gender-AGR	Simple past: No O Agreement	0.785466666666667
Verbal morphology|simple PAST, O|PST:NO-O-AGR;Verbal morphology|simple PAST, O|PST:O-AGR-FULL;Verbal morphology|simple PAST, O|PST:O-Gender-AGR	Simple Past: Syncretic and gender A Agreement	0.0673333333333333
Verbal morphology|simple PAST, O|PST:NO-O-AGR;Verbal morphology|simple PAST, O|PST:O-AGR-FULL;Verbal morphology|simple PAST, O|PST:O-Gender-AGR	Simple past: Syncretic O Agreement	0.0830666666666667
Word order|Adpositions|Post	No Postpositions	0.150566666666667
Word order|Adpositions|Post	Postpositions	0.849433333333333
Word order|Adpositions|Prep	No Prepositions	0.7382
Word order|Adpositions|Prep	Prepositions	0.2618
Word order|Clitic pronouns finite verb|2nd position;Word order|Clitic pronouns finite verb|OV;Word order|Clitic pronouns finite verb|VO	Clitic finite V: Category irrelevant	0.4424
Word order|Clitic pronouns finite verb|2nd position;Word order|Clitic pronouns finite verb|OV;Word order|Clitic pronouns finite verb|VO	Clitic finite V: OV	0.141233333333333
Word order|Clitic pronouns finite verb|2nd position;Word order|Clitic pronouns finite verb|OV;Word order|Clitic pronouns finite verb|VO	Clitic finite V: V2	0.1613
Word order|Clitic pronouns finite verb|2nd position;Word order|Clitic pronouns finite verb|OV;Word order|Clitic pronouns finite verb|VO	Clitic finite V: VO	0.181233333333333
Word order|Clitic pronouns finite verb|2nd position;Word order|Clitic pronouns finite verb|OV;Word order|Clitic pronouns finite verb|VO	Clitic finite V: VO and OV	0.0738333333333333
Word order|Clitic pronouns infinitive|2nd position;Word order|Clitic pronouns infinitive|OV;Word order|Clitic pronouns infinitive|VO	Clitic Infinitive V: Category irrelevant	0.4337
Word order|Clitic pronouns infinitive|2nd position;Word order|Clitic pronouns infinitive|OV;Word order|Clitic pronouns infinitive|VO	Clitic Infinitive V: OV	0.1894
Word order|Clitic pronouns infinitive|2nd position;Word order|Clitic pronouns infinitive|OV;Word order|Clitic pronouns infinitive|VO	Clitic Infinitive V: V2	0.161933333333333
Word order|Clitic pronouns infinitive|2nd position;Word order|Clitic pronouns infinitive|OV;Word order|Clitic pronouns infinitive|VO	Clitic Infinitive V: VO	0.1693
Word order|Clitic pronouns infinitive|2nd position;Word order|Clitic pronouns infinitive|OV;Word order|Clitic pronouns infinitive|VO	Clitic Infinitive V: VO and OV	0.0456666666666667
Word order|Clitic pronouns participle|2nd position;Word order|Clitic pronouns participle|OV;Word order|Clitic pronouns participle|VO	Clitic Participle V: Category irrelevant	0.418466666666667
Word order|Clitic pronouns participle|2nd position;Word order|Clitic pronouns participle|OV;Word order|Clitic pronouns participle|VO	Clitic Participle V: OV	0.197833333333333
Word order|Clitic pronouns participle|2nd position;Word order|Clitic pronouns participle|OV;Word order|Clitic pronouns participle|VO	Clitic Participle V: V2	0.148366666666667
Word order|Clitic pronouns participle|2nd position;Word order|Clitic pronouns participle|OV;Word order|Clitic pronouns participle|VO	Clitic Participle V: VO	0.181066666666667
Word order|Clitic pronouns participle|2nd position;Word order|Clitic pronouns participle|OV;Word order|Clitic pronouns participle|VO	Clitic Participle V: VO and OV	0.0542666666666667
Word order|Infinitive|OV;Word order|Infinitive|VO	Infinitive: Category irrelevant	0.0633666666666667
Word order|Infinitive|OV;Word order|Infinitive|VO	Infinitive: OV	0.805533333333333
Word order|Infinitive|OV;Word order|Infinitive|VO	Infinitive: OV and VO	0.0389666666666667
Word order|Infinitive|OV;Word order|Infinitive|VO	Infinitive: VO	0.0921333333333333
Word order|Main clauses|SOV;Word order|Main clauses|SVO;Word order|Main clauses|V2;Word order|Main clauses|VSO	Main clause: SOV	0.904566666666667
Word order|Main clauses|SOV;Word order|Main clauses|SVO;Word order|Main clauses|V2;Word order|Main clauses|VSO	Main clause: SOV/SVO	0.00976666666666667
Word order|Main clauses|SOV;Word order|Main clauses|SVO;Word order|Main clauses|V2;Word order|Main clauses|VSO	Main clause: SVO	0.0342
Word order|Main clauses|SOV;Word order|Main clauses|SVO;Word order|Main clauses|V2;Word order|Main clauses|VSO	Main clause: V2	0.0302
Word order|Main clauses|SOV;Word order|Main clauses|SVO;Word order|Main clauses|V2;Word order|Main clauses|VSO	Main clause: VSO	0.0212666666666667
Word order|Noun-Possessor|N-Poss;Word order|Noun-Possessor|Poss-N	Noun - Possessor	0.346866666666667
Word order|Noun-Possessor|N-Poss;Word order|Noun-Possessor|Poss-N	Possessor - Noun	0.5851
Word order|Noun-Possessor|N-Poss;Word order|Noun-Possessor|Poss-N	Possessor - Noun and Noun - Possessor	0.0680333333333333
Word order|Noun-adjective|AN;Word order|Noun-adjective|NA	Adjective - Noun	0.869866666666667
Word order|Noun-adjective|AN;Word order|Noun-adjective|NA	Adjective - Noun and Noun - Adjective	0.0538
Word order|Noun-adjective|AN;Word order|Noun-adjective|NA	Noun - Adjective	0.0763333333333333
Word order|Noun-relative clause|NRel;Word order|Noun-relative clause|RelN	NRel: Category irrelevant	0.0404333333333333
Word order|Noun-relative clause|NRel;Word order|Noun-relative clause|RelN	NRel: Noun - Relative	0.6271
Word order|Noun-relative clause|NRel;Word order|Noun-relative clause|RelN	NRel: Relative - Noun	0.291733333333333
Word order|Noun-relative clause|NRel;Word order|Noun-relative clause|RelN	NRel: Relative - Noun and Noun - Relative	0.0407333333333333
Word order|Participle|OV;Word order|Participle|VO	O - Participle	0.8936
Word order|Participle|OV;Word order|Participle|VO	Participle - O	0.0499
Word order|Participle|OV;Word order|Participle|VO	Participle - O and O - Participle	0.0565
Word order|Subordinate clause|SOV;Word order|Subordinate clause|SVO;Word order|Subordinate clause|V2;Word order|Subordinate clause|VSO	Subordinate clause: SOV	0.8992
Word order|Subordinate clause|SOV;Word order|Subordinate clause|SVO;Word order|Subordinate clause|V2;Word order|Subordinate clause|VSO	Subordinate clause: SOV and SVO	0.0121333333333333
Word order|Subordinate clause|SOV;Word order|Subordinate clause|SVO;Word order|Subordinate clause|V2;Word order|Subordinate clause|VSO	Subordinate clause: SVO	0.0373333333333333
Word order|Subordinate clause|SOV;Word order|Subordinate clause|SVO;Word order|Subordinate clause|V2;Word order|Subordinate clause|VSO	Subordinate clause: V2	0.0138
Word order|Subordinate clause|SOV;Word order|Subordinate clause|SVO;Word order|Subordinate clause|V2;Word order|Subordinate clause|VSO	Subordinate clause: VSO	0.0375333333333333
Word order|WH-element|WH-V	No WH - Verb (initial or not)	0.778233333333333
Word order|WH-element|WH-V	WH - Verb (initial or not)	0.221766666666667
Word order|WH-element|WH-initial	No WH-initial (no inversion)	0.212033333333333
Word order|WH-element|WH-initial	WH-initial (no inversion)	0.787966666666667
